"Born 1951 Director father. Was a succesful model before returning to film. Won Supporting Actress Oscar in Prizzi's Honor", "Anjelica Huston"
"Born Apr 28, 1941, She starred in the movie Middle Age Crazy - 1980", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Newsies - 1992", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Once a Thief - 1965", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Our Sons - 1991", "ann-margret"
"Born Apr 28, 1941, She starred in the movie State Fair - 1962", "ann-margret"
"Born Apr 28, 1941, She starred in the movie The Cincinnati Kid - 1965", "ann-margret"
"Born Apr 28, 1941, She starred in the movie The Pleasure Seekers - 1964", "ann-margret"
"Born Apr 28, 1941, She starred in the movie The Return of the Soldier - 1983", "ann-margret"
"Born Apr 28, 1941, She starred in the movie The Swinger - 1966", "ann-margret"
"Born Apr 28, 1941, She starred in the movie The Tiger and the Pussycat - 1967", "ann-margret"
"Born Apr 28, 1941, She starred in the movie The Train Robbers - 1973", "ann-margret"
"Born Apr 28, 1941, She starred in the movie The Villain - 1979", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Tommy - 1975", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Twice in a Lifetime - 1985", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Viva Las Vegas - 1964", "ann-margret"
"Born Apr 28, 1941, She starred in the movie Who Will Love My Children? - 1983", "ann-margret"
"Born Apr 3, 1961, he starred in the movie 48 HRS. - 1982", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Another 48 Hrs. - 1990", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Best Defense - 1984", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Beverly Hills Cop - 1984", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Beverly Hills Cop II - 1987", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Beverly Hills Cop III - 1994", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Boomerang - 1992", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Bowfinger - 1999", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Coming to America - 1988", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Doctor Dolittle - 1998", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Eddie Murphy Raw - 1987", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Harlem Nights - 1989", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Hollywood Shuffle - 1987", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Holy Man - 1998", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Life - 1999", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Metro - 1997", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie The Distinguished Gentleman - 1992", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie The Golden Child - 1986", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie The Nutty Professor - 1996", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Trading Places - 1983", "eddie murphy"
"Born Apr 3, 1961, he starred in the movie Vampire in Brooklyn - 1995", "eddie murphy"
"Born Apr 7, 1964, he starred in the movie Breaking Up - 1997", "russell crowe"
"Born Apr 7, 1964, he starred in the movie For the Moment - 1994", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Gladiator - 2000", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Hammers Over the Anvil - 1991", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Heaven's Burning - 1997", "russell crowe"
"Born Apr 7, 1964, he starred in the movie L.A. Confidential - 1997", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Love in Limbo - 1993", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Mystery, Alaska - 1999", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Prisoners of the Sun - 1991", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Proof - 1991", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Romper Stomper - 1992", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Rough Magic - 1995", "russell crowe"
"Born Apr 7, 1964, he starred in the movie The Crossing ? 1990", "Russell Crowe "
"Born Apr 7, 1964, he starred in the movie The Efficiency Expert - 1992", "russell crowe"
"Born Apr 7, 1964, he starred in the movie The Insider - 1999", "russell crowe"
"Born Apr 7, 1964, he starred in the movie The Quick and the Dead - 1995", "russell crowe"
"Born Apr 7, 1964, he starred in the movie The Silver Brumby - 1993", "russell crowe"
"Born Apr 7, 1964, he starred in the movie The Sum of Us - 1994", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Under the Gun - 1995", "russell crowe"
"Born Apr 7, 1964, he starred in the movie Virtuosity - 1995", "russell crowe"
"Born April 14, 1977, She starred in the movie Cruel Intentions - 1999", "sarah michelle gellar"
"Born April 14, 1977, She starred in the movie Funny Farm - 1988", "sarah michelle gellar"
"Born April 14, 1977, She starred in the movie High Stakes - 1989", "sarah michelle gellar"
"Born April 14, 1977, She starred in the movie I Know What You Did Last Summer - 1997", "sarah michelle gellar"
"Born April 14, 1977, She starred in the movie Over the Brooklyn Bridge - 1984", "sarah michelle gellar"
"Born April 14, 1977, She starred in the movie Scream 2 - 1997", "sarah michelle gellar"
"Born April 14, 1977, She starred in the movie Simply Irresistible - 1999", "sarah michelle gellar"
"Born April 15, 1959, She starred in the movie Carrington - 1995", "emma thompson"
"Born April 15, 1959, She starred in the movie Dead Again - 1991", "emma thompson"
"Born April 15, 1959, She starred in the movie Henry V - 1989", "emma thompson"
"Born April 15, 1959, She starred in the movie Howards End - 1992", "emma thompson"
"Born April 15, 1959, She starred in the movie Impromptu - 1990", "emma thompson"
"Born April 15, 1959, She starred in the movie In the Name of the Father - 1993", "emma thompson"
"Born April 15, 1959, She starred in the movie Junior - 1994", "emma thompson"
"Born April 15, 1959, She starred in the movie Much Ado About Nothing - 1993", "emma thompson"
"Born April 15, 1959, She starred in the movie My Father, the Hero - 1994", "emma thompson"
"Born April 15, 1959, She starred in the movie Peter's Friends - 1992", "emma thompson"
"Born April 15, 1959, She starred in the movie Primary Colors - 1998", "emma thompson"
"Born April 15, 1959, She starred in the movie Remains of the Day - 1993", "emma thompson"
"Born April 15, 1959, She starred in the movie Sense and Sensibility - 1995", "emma thompson"
"Born April 15, 1959, She starred in the movie The Remains of the Day - 1993", "emma thompson"
"Born April 15, 1959, She starred in the movie The Tall Guy - 1989", "emma thompson"
"Born April 15, 1959, She starred in the movie The Winter Guest - 1997", "emma thompson"
"Born April 16, 1889, he starred in the movie A Film Johnnie - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie A King in New York - 1957", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Between Showers - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Caught in a Cabaret - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie City Lights - 1931", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Cruel, Cruel Love - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Kid Auto Races at Venice - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Limelight - 1952", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Mabel at the Wheel - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Mabel's Busy Day - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Mabel's Strange Predicament - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Making a Living - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Modern Times - 1936", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Monsieur Verdoux - 1947", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Souls For Sale - 1923", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Chaplin Revue - 1958", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Circus - 1928", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Fatal Mallet - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Gold Rush - 1925", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Great Dictator - 1940", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Kid - 1921", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Knockout - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Nut - 1921", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Star Boarder - 1914", "charlie chaplin"
"Born April 16, 1889, he starred in the movie The Tramp - 1915", "charlie chaplin"
"Born April 16, 1889, he starred in the movie Tillie's Punctured Romance - 1914", "charlie chaplin"
"Born April 18, 1947, he starred in the movie A Great American Tragedy - 1972", "james wood"
"Born April 18, 1947, he starred in the movie Against All Odds - 1984", "james woods"
"Born April 18, 1947, he starred in the movie Alex and the Gypsy - 1976", "james woods"
"Born April 18, 1947, he starred in the movie And Your Name Is Jonah - 1979", "james woods"
"Born April 18, 1947, he starred in the movie Another Day in Paradise - 1998", "james woods"
"Born April 18, 1947, he starred in the movie Any Given Sunday - 1999", "james woods"
"Born April 18, 1947, he starred in the movie Badge of the Assassin - 1985", "james woods"
"Born April 18, 1947, he starred in the movie Best Seller - 1987", "james woods"
"Born April 18, 1947, he starred in the movie Casino - 1995", "james woods"
"Born April 18, 1947, he starred in the movie Cat's Eye - 1985", "james woods"
"Born April 18, 1947, he starred in the movie Chaplin - 1992", "james woods"
"Born April 18, 1947, he starred in the movie Contact - 1997", "james woods"
"Born April 18, 1947, he starred in the movie Cop - 1988", "james woods"
"Born April 18, 1947, he starred in the movie Curse of the Starving Class - 1994", "james woods"
"Born April 18, 1947, he starred in the movie Diggstown - 1992", "james woods"
"Born April 18, 1947, he starred in the movie Distance - 1975", "james woods"
"Born April 18, 1947, he starred in the movie Dodd - 1984", "james woods"
"Born April 18, 1947, he starred in the movie Eyewitness - 1981", "james woods"
"Born April 18, 1947, he starred in the movie Fast Walking - 1982", "james woods"
"Born April 18, 1947, he starred in the movie Fear and Loathing in Las Vegas - 1998", "james woods"
"Born April 18, 1947, he starred in the movie For Better or Worse - 1996", "james woods"
"Born April 18, 1947, he starred in the movie Ghosts of Mississippi - 1996", "james woods"
"Born April 18, 1947, he starred in the movie Hercules - 1997", "james woods"
"Born April 18, 1947, he starred in the movie Hickey and Boggs - 1972", "james woods"
"Born April 18, 1947, he starred in the movie Immediate Family - 1989", "james woods"
"Born April 18, 1947, he starred in the movie Joshua Then and Now - 1985", "james woods"
"Born April 18, 1947, he starred in the movie Kicked in the Head - 1997", "james woods"
"Born April 18, 1947, he starred in the movie My Name is Bill W. - 1989", "james woods"
"Born April 18, 1947, he starred in the movie Night Moves - 1975", "james woods"
"Born April 18, 1947, he starred in the movie Nixon - 1995", "james woods"
"Born April 18, 1947, he starred in the movie Once Upon a Time in America - 1984", "james woods"
"Born April 18, 1947, he starred in the movie Promise - 1986", "james woods"
"Born April 18, 1947, he starred in the movie Salvador - 1986", "james woods"
"Born April 18, 1947, he starred in the movie Split Image - 1982", "james woods"
"Born April 18, 1947, he starred in the movie Straight Talk - 1992", "james woods"
"Born April 18, 1947, he starred in the movie The Black Marble - 1980", "james woods"
"Born April 18, 1947, he starred in the movie The Boost - 1988", "james woods"
"Born April 18, 1947, he starred in the movie The Boys - 1991", "james woods"
"Born April 18, 1947, he starred in the movie The Choirboys - 1977", "james woods"
"Born April 18, 1947, he starred in the movie The Gambler - 1974", "james woods"
"Born April 18, 1947, he starred in the movie The General's Daughter - 1999", "james woods"
"Born April 18, 1947, he starred in the movie The Getaway - 1994", "james woods"
"Born April 18, 1947, he starred in the movie The Hard Way - 1991", "james woods"
"Born April 18, 1947, he starred in the movie The Onion Field - 1979", "james woods"
"Born April 18, 1947, he starred in the movie The Specialist - 1994", "james woods"
"Born April 18, 1947, he starred in the movie The Virgin Suicides - 2000", "james woods"
"Born April 18, 1947, he starred in the movie The Visitors - 1972", "james woods"
"Born April 18, 1947, he starred in the movie The Way We Were - 1973", "james woods"
"Born April 18, 1947, he starred in the movie True Believer - 1989", "james woods"
"Born April 18, 1947, he starred in the movie True Crime - 1999", "james woods"
"Born April 18, 1947, he starred in the movie Vampires - 1998", "james woods"
"Born April 18, 1947, he starred in the movie Videodrome - 1983", "james woods"
"Born April 19, 1968, She starred in the movie A Time To Kill - 1996", "ashley judd"
"Born April 19, 1968, She starred in the movie Double Jeopardy - 1999", "ashley judd"
"Born April 19, 1968, She starred in the movie Eye of the Beholder - 2000", "ashley judd"
"Born April 19, 1968, She starred in the movie Heat - 1995", "ashley judd"
"Born April 19, 1968, She starred in the movie Kiss the Girls - 1997", "ashley judd"
"Born April 19, 1968, She starred in the movie Kuffs - 1992", "ashley judd"
"Born April 19, 1968, She starred in the movie Natural Born Killers - 1994", "ashley judd"
"Born April 19, 1968, She starred in the movie Normal Life - 1996", "ashley judd"
"Born April 19, 1968, She starred in the movie Ruby in Paradise - 1993", "ashley judd"
"Born April 19, 1968, She starred in the movie Simon Birch - 1998", "ashley judd"
"Born April 19, 1968, She starred in the movie Smoke - 1995", "ashley judd"
"Born April 19, 1968, She starred in the movie The Locusts - 1997", "ashley judd"
"Born April 19, 1968, She starred in the movie The Passion of Darkly Noon - 1995", "ashley judd"
"Born April 19, 1968, She starred in the movie Where the Heart Is - 2000", "ashley judd"
"Born April 24, 1934, She starred in the movie A Century of Cinema - 1994", "shirley maclaine"
"Born April 24, 1934, She starred in the movie A Change of Seasons - 1980", "shirley maclaine"
"Born April 24, 1934, She starred in the movie A Smile Like Yours - 1997", "shirley maclaine"
"Born April 24, 1934, She starred in the movie All in a Night's Work - 1961", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Around the World in 80 Days - 1956", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Artists and Models - 1955", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Ask Any Girl - 1959", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Being There - 1979", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Can-Can - 1960", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Cannonball Run II - 1984", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Career - 1959", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Defending Your Life - 1991", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Desperate Characters - 1971", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Gambit - 1966", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Get Bruce - 1999", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Guarding Tess - 1994", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Hot Spell - 1958", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Irma La Douce - 1963", "shirley maclaine"
"Born April 24, 1934, She starred in the movie John Goldfarb, Please Come Home - 1964", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Loving Couples - 1980", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Madame Sousatzka - 1988", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Mrs. Winterbourne - 1996", "shirley maclaine"
"Born April 24, 1934, She starred in the movie My Geisha - 1962", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Ocean's Eleven - 1960", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Out on a Limb - 1987", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Postcards From the Edge - 1990", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Some Came Running - 1958", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Steel Magnolias - 1989", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Sweet Charity - 1969", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Terms of Endearment - 1983", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Apartment - 1960", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Bliss of Mrs. Blossom - 1968", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Celluloid Closet - 1996", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Children's Hour/The Loudest Whisper - 1962", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Evening Star - 1996", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Matchmaker - 1958", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Possession of Joel Delaney - 1972", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Sheepman - 1958", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Trouble With Harry - 1955", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Turning Point - 1977", "shirley maclaine"
"Born April 24, 1934, She starred in the movie The Yellow Rolls-Royce - 1964", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Two for the Seesaw - 1962", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Two Loves - 1961", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Two Mules for Sister Sara - 1970", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Used People - 1992", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Waiting for the Light - 1990", "shirley maclaine"
"Born April 24, 1934, She starred in the movie What a Way To Go! - 1964", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Woman Times Seven - 1967", "shirley maclaine"
"Born April 24, 1934, She starred in the movie Wrestling Ernest Hemingway - 1993", "shirley maclaine"
"Born April 25, 1969, She starred in the movie 8 Seconds - 1994", "renee zellweger"
"Born April 25, 1969, She starred in the movie A Price Above Rubies - 1998", "renee zellweger"
"Born April 25, 1969, She starred in the movie Deceiver - 1997", "renee zellweger"
"Born April 25, 1969, She starred in the movie Empire Records - 1995", "renee zellweger"
"Born April 25, 1969, She starred in the movie Jerry Maguire - 1996", "renee zellweger"
"Born April 25, 1969, She starred in the movie Love and a .45 - 1994", "renee zellweger"
"Born April 25, 1969, She starred in the movie Me, Myself, & Irene - 2000", "renee zellweger"
"Born April 25, 1969, She starred in the movie One True Thing - 1998", "renee zellweger"
"Born April 25, 1969, She starred in the movie Reality Bites - 1994", "renee zellweger"
"Born April 25, 1969, She starred in the movie The Bachelor - 1999", "renee zellweger"
"Born April 25, 1969, She starred in the movie The Low Life - 1995", "renee zellweger"
"Born April 25, 1969, She starred in the movie The Whole Wide World - 1996", "renee zellweger"
"Born April 29, 1958, She starred in the movie A Thousand Acres - 1997", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Amazon Women on the Moon - 1987", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Batman Returns - 1992", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Callie and Son - 1981", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Charlie Chan and the Curse of the Dragon Queen - 1981", "michelle Pfeiffer"
"Born April 29, 1958, She starred in the movie Dangerous Liaisons - 1988", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Dangerous Minds - 1995", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Falling in Love Again - 1980", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Frankie & Johnny - 1991", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Grease 2 - 1982", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Hollywood Knights - 1980", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Into the Night - 1985", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Ladyhawke - 1985", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Love Field - 1993", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Married to the Mob - 1988", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie One Fine Day - 1996", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Scarface - 1983", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Splendor in the Grass - 1981", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Sweet Liberty - 1986", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Tequila Sunrise - 1988", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie The Age of Innocence - 1993", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie The Deep End of the Ocean - 1999", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie The Fabulous Baker Boys - 1989", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie The Hollywood Knights - 1980", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie The Prince of Egypt - 1998", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie The Russia House - 1990", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie The Story of Us - 1999", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie The Witches of Eastwick - 1987", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie To Gillian on Her 37th Birthday - 1996", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie Up Close and Personal - 1996", "michelle pfeiffer"
"Born April 29, 1958, She starred in the movie William Shakespeare's A Midsummer Night's Dream - 1999", "michelle Pfeiffer"
"Born April 29, 1958, She starred in the movie Wolf - 1994", "michelle pfeiffer"
"Born April 3, 1924, he starred in the movie A Countess From Hong Kong - 1967", "marlon brando"
"Born April 3, 1924, he starred in the movie A Dry White Season - 1989", "marlon brando"
"Born April 3, 1924, he starred in the movie A Streetcar Named Desire - 1951", "marlon brando"
"Born April 3, 1924, he starred in the movie Apocalypse Now - 1979", "marlon brando"
"Born April 3, 1924, he starred in the movie Bedtime Story - 1964", "marlon brando"
"Born April 3, 1924, he starred in the movie Burn! - 1970", "marlon brando"
"Born April 3, 1924, he starred in the movie Candy - 1968", "marlon brando"
"Born April 3, 1924, he starred in the movie Desir?e - 1954", "marlon brando"
"Born April 3, 1924, he starred in the movie Don Juan DeMarco - 1995", "marlon brando"
"Born April 3, 1924, he starred in the movie Guys and Dolls - 1955", "marlon brando"
"Born April 3, 1924, he starred in the movie Julius Caesar - 1953", "marlon brando"
"Born April 3, 1924, he starred in the movie Last Tango in Paris - 1972", "marlon brando"
"Born April 3, 1924, he starred in the movie Morituri - 1965", "marlon brando"
"Born April 3, 1924, he starred in the movie Mutiny on the Bounty - 1962", "marlon brando"
"Born April 3, 1924, he starred in the movie On the Waterfront - 1954", "marlon brando"
"Born April 3, 1924, he starred in the movie One-Eyed Jacks - 1961", "marlon brando"
"Born April 3, 1924, he starred in the movie Queimada/Burn! - 1969", "marlon brando"
"Born April 3, 1924, he starred in the movie Reflections in a Golden Eye - 1967", "marlon brando"
"Born April 3, 1924, he starred in the movie Sayonara - 1957", "marlon brando"
"Born April 3, 1924, he starred in the movie Superman - 1978", "marlon brando"
"Born April 3, 1924, he starred in the movie Teahouse of the August Moon - 1956", "marlon brando"
"Born April 3, 1924, he starred in the movie The Appaloosa - 1966", "marlon brando"
"Born April 3, 1924, he starred in the movie The Chase - 1966", "marlon brando"
"Born April 3, 1924, he starred in the movie The Formula - 1980", "marlon brando"
"Born April 3, 1924, he starred in the movie The Freshman - 1990", "marlon brando"
"Born April 3, 1924, he starred in the movie The Fugitive Kind - 1960", "marlon brando"
"Born April 3, 1924, he starred in the movie The Godfather - 1972", "marlon brando"
"Born April 3, 1924, he starred in the movie The Island of Dr. Moreau - 1996", "marlon brando"
"Born April 3, 1924, he starred in the movie The Men - 1950", "marlon brando"
"Born April 3, 1924, he starred in the movie The Missouri Breaks - 1976", "marlon brando"
"Born April 3, 1924, he starred in the movie The Night of the Following Day - 1969", "marlon brando"
"Born April 3, 1924, he starred in the movie The Nightcomers - 1971", "marlon brando"
"Born April 3, 1924, he starred in the movie The Saboteur____Code Name Morituri - 1965", "marlon brando"
"Born April 3, 1924, he starred in the movie The Teahouse of the August Moon - 1956", "marlon brando"
"Born April 3, 1924, he starred in the movie The Ugly American - 1963", "marlon brando"
"Born April 3, 1924, he starred in the movie The Wild One - 1954", "marlon brando"
"Born April 3, 1924, he starred in the movie The Young Lions - 1958", "marlon brando"
"Born April 3, 1924, he starred in the movie Viva Zapata! - 1952", "marlon brando"
"Born April 3, 1958, he starred in the movie Alice - 1990", "alec baldwin"
"Born April 3, 1958, he starred in the movie Beetlejuice - 1988", "alec baldwin"
"Born April 3, 1958, he starred in the movie Dress Gray - 1986", "alec baldwin"
"Born April 3, 1958, he starred in the movie Forever, Lulu - 1987", "alec baldwin"
"Born April 3, 1958, he starred in the movie Ghosts of Mississippi - 1996", "alec baldwin"
"Born April 3, 1958, he starred in the movie Glengarry Glen Ross - 1992", "alec baldwin"
"Born April 3, 1958, he starred in the movie Great Balls of Fire! - 1989", "alec baldwin"
"Born April 3, 1958, he starred in the movie Heaven's Prisoners - 1996", "alec baldwin"
"Born April 3, 1958, he starred in the movie Looking for Richard - 1996", "alec baldwin"
"Born April 3, 1958, he starred in the movie Love on the Run - 1985", "alec baldwin"
"Born April 3, 1958, he starred in the movie Malice - 1993", "alec baldwin"
"Born April 3, 1958, he starred in the movie Married to the Mob - 1988", "alec baldwin"
"Born April 3, 1958, he starred in the movie Mercury Rising - 1998", "alec baldwin"
"Born April 3, 1958, he starred in the movie Miami Blues - 1990", "alec baldwin"
"Born April 3, 1958, he starred in the movie Notting Hill - 1999", "alec baldwin"
"Born April 3, 1958, he starred in the movie Outside Providence - 1999", "alec baldwin"
"Born April 3, 1958, he starred in the movie Prelude to a Kiss - 1992", "alec baldwin"
"Born April 3, 1958, he starred in the movie She's Having a Baby - 1988", "alec baldwin"
"Born April 3, 1958, he starred in the movie Sweet Revenge - 1984", "alec baldwin"
"Born April 3, 1958, he starred in the movie Talk Radio - 1988", "alec baldwin"
"Born April 3, 1958, he starred in the movie The Edge - 1997", "alec baldwin"
"Born April 3, 1958, he starred in the movie The Getaway - 1994", "alec baldwin"
"Born April 3, 1958, he starred in the movie The Hunt for Red October - 1990", "alec baldwin"
