"____ bacon", "kevin"
"Jerry Van Dyke, J.T.Nelson", "coach"
"Jimmy Piersall in Fear Strikes Out", "anthony perkins"
"Julia Louise Dreyfuss, Jason Alexander", "seinfeld"
"Jurassic Park; The Hunt For Red October; The Piano", "sam neill"
"Kelsey Grammer, David Hyde Pierce", "frasier"
"Kiefer Sutherland, Jason Patric, Billy Wirth", "the lost boys"
"Kiefer Sutherland, Julia Roberts, Kevin Bacon", "flatliners"
"Krystle on Dynasty", "linda evans"
"Kurt Russell, Adrienne Barbeau, Lee Van Cleef", "escape from new york"
"Kurt Russell, Keith David, Wilford Brimley", "the thing"
"Lee Marvin, John Cassavettes, Telly Savalas", "the dirty dozen"
"levar burton (jordi on 'star trek the next generation') was born in ____", "germany"
"Lou Gehrig in Pride of the Yankees?", "gary cooper"
"Madame Sousatzka ____> Madame Sousatzka", "shirley maclaine"
"Malcolm X ____> Betty Shabazz", "angela bassett"
"Male lead in "my girl"", "macaulay culkin"
"Mallory Keaton on Family Ties", "justine bateman"
"married to Prince Rainier of Monaco", "Grace Kelly"
"Mr. Haney on Green Acres", "pat buttram"
"One Flew Over the Cuckoo's Nest ____> The Big Nurse", "louise fletcher"
"Oscar winner 48 years apart, in 1933 & 1981", "katharine hepburn"
"paid $2.5M for 12 days work & 10 mins. of screen appearance (in Superman)", "marlon brando"
"Pamela Barnes Ewing on Dallas", "victoria principal"
"Pearce Brosnan, Patrick Stewart", "detonator"
"Pierce Brosnan, Leslie Anne Down, Adam Ant", "nomads"
"played Apollo Creed", "carl weathers"
"played Dick Tracy (in the 90's)", "warren beatty"
"played Dirty Harry", "eastwood"
"played Jake LaMotta", "robert deniro"
"Played Laura Ingalls Wilder in "Little House on the Prairie."", "melissa gilbert"
"played Obi Wan Kenobi", "guiness"
"played The Incredible Mr. Limpett", "don knotts"
"Played the role of Atticus Finch in 'To Kill A Mockingbird'", "gregory peck"
"Played the role of Captain Ahab in 'Moby Dick' (1956)", "gregory peck"
"Played the role of Charles Lindbergh in 'The Spirit of St. Louis'", "james stewart"
"Played the role of Cody Jarett in ' White Heat'", "james cagney"
"Played the role of Josef Mengele in 'The Boys from Brazil'", "gregory peck"
"Played the role of Longfellow Deeds in 'Mr Deeds Goes to Town'", "gary cooper"
"Played the role of Michelangelo in 'The Agony and the Ecstasy'", "charlton heston"
"Played the role of Nero in 'The Sign of the Cross'", "charles laughton"
"Played the role of Pancho Villa in 'Viva Villa'", "wallace beery"
"Played the role of Prince Feisal in 'Lawrence of Arabia'", "alec guinness"
"Played the role of Rembrandt in 'Rembrandt'", "charles laughton"
"Played the role of Terry Malloy in 'On the Water Front'", "marlon brando"
"Played the role of Vincent van Gogh in 'Lust for Life'", "kirk douglas"
"played Travis Bickle", "robert de niro"
"played TS Garp", "robin williams"
"played TS Garp", "williams"
"Plays Agent Dana Sculley on the "X-Files."", "gillian anderson"
"Pulp Fiction; The Fisher King; So I Married An Axe Murderer", "amanda plummer"
"Radio star who won a 1986 Oscar for Cocoon", "don ameche"
"Reds; Annie Hall; Baby Boom", "diane keaton"
"Reservoir Dogs; Bad Lieutenant; Thelma & Louise", "harvey keitel"
"Roseanne regular and host of Fernwood 2-Night", "martin mull"
"Roy Hobbs' old girlfriend and eventual wife in The Natural", "glenn close"
"Runaway Train ____> Sara", "rebecca demornay"
"Sean Connery, Sam Neill, Alec Baldwin", "the hunt for red october"
"Sean Penn, Al Pacino, John Leguzamo", "carlitos way"
"She has been nominated for best actress 12 times, winning only once (for 'Sophie's Choice')", "merryl streep"
"She married Humphrey Bogart", "lauren bacall"
"She played "Police Woman"", "dickinson"
"She played a Polish refugee in "Sophie's Choice"", "Meryl Streep"
"She played carrie", "sissy spacek"
"She played kitty russell on Gunsmoke", "amanda blake"
"She played lois lane in the 1978 film version of "superman"", "margot kidder"
"She played shirley valentine", "pauline collins"
"She played the lead role in "Coal Miner's Daughter"", "Sissy Spacek"
"She shared an apartment with Jack Tripper and Chrissy Snow (full name)", "janet wood"
"She starred in broadcast news and the piano", "holly hunter"
"She starred in Casablanca, Gaslight, & Anastasia", "ingrid bergman"
"She starred in Fatal Attraction and Dangerous Liasons", "glenn close"
"She starred in the 1952 film, "Niagara"", "Marilyn Monroe"
"She was born Frances Gumm", "judy garland"
"She was born Susan Tomaling", "susan sarandon"
"She was Oscar nominated for Sunset Boulevard", "gloria swanson"
"She was the "Empress of the Blues"", "bessie smith"
"She was the star of 40s MGM swimming spectaculars", "esther williams"
"She won an Oscar as a hooker in "Elmer Gantry."", "shirley jones"
"She won an Oscar in the lead role in 'Erin Brokovich' the movie?", "Julia Roberts"
"She won Oscars for (ch) Kramer vs. Kramer and Sophie's Choice", "meryl streep"
"Sigourney Weaver, Tom Skerritt, John Hurt", "alien"
"Silkwood; Heartburn; She Devil", "meryl streep"
"Sneakers; Passion Fish; Dances With Wolves", "mary mcdonnell"
"Some Kind of Wonderful ____> Amanda Jones", "lea thompson"
"Stallone's ex and Red Sonja", "brigette nielsen"
"star of On the Beach, once married to frank Sinatra", "Ava Gardner"
"Star of Some Like It Hot and The Seven Year Itch", "marilyn monroe"
"Stephen Spielberg ex who was in The Competition and Yentl", "amy irving"
"Steven Weber, Crystal Bernard", "wings"
"Susan Sarandon, Geena Davis", "thelma and louise"
"Ted Danson, Kirsty Alley, George Wendt", "cheers"
"The birthplace (city) of Jack Lemmon", "boston"
"The birthplace (city) of Raul Julia", "san juan"
"The birthplace (city) of Sidney Poitier", "miami"
"The birthplace (city) of the late John Candy", "toronto"
"The Color of Money ____> Carla", "mary elizabeth mastrantonio"
"The dad on Family Affair", "brian keith"
"The film Looper, set in 2074, stars which action movie icon?", "Bruce Willis"
"The Grifters ____> Lily Dillon", "anjelica huston"
"The heartthrob in Dirty Dancing and Ghost", "patrick swayze"
"The Hunger; The Rocky Horror Picture Show; Bull Durham", "susan sarandon"
"The leading man in Mrs. Miniver and Madame Curie", "walter pidgeon"
"the manager in The Natural?", "wilfred brimley"
"The martian on My Favorite Martian", "ray walston"
"The mute Marx Brother", "harpo"
"The Natural ____> Iris Gaines", "glenn close"
"the pesky sportswriter in The Natural?", "robert duvall"
"The piano-playing Marx brother", "chico"
"The Riddler on Batman", "frank gorshin"
"The Silence Of The Lambs; Backdraft; Urban Cowboy", "scott glenn"
"The star of Roman Holiday and Breakfast at Tiffany's", "audrey hepburn"
"The Tall Guy; Peter's Friends; Dead Again", "emma thompson"
"The Tin Man in The Wizard of Oz", "jack haley"
"The Wicked Witch in The Wizard of Oz and Maxwell House spokesperson", "margaret hamilton"
"the woman who pretended to be Hobbs' mistress in The Natural", "kim basinger"
"This actress was married to a king", "priscilla presley"
"This is another fine mess you've gotten me into", "oliver hardy"
"This person was related to Princess Diana", "humphrey bogart"
"Threesome ____> Alex", "lara flynn boyle"
"Tom Berenger, Mimi Rogers", "someone to watch over me"
"Tom Berenger, Sidney Poitier, Clancy Brown", "shoot to kill"
"Unlawful Entry; Blink; Revenge", "madeleine stowe"
"Unnecessary Roughness ____> the placekicker", "kathy ireland"
"Voice of Jack Benny's hispanic friend Sy (Sy?...Si!), his car, and Bugs Bunny", "mel blanc"
"What actor's torn white t-shirt caused a major stir in "Picnic" in 1957", "william holden"
"What Nick starred in "The Prince of Tides"", "nolte"
"Which actor was in Lifeboat, Cocoon", "hume cronyn"
"Which actor was in My Mother the Car, Coach", "jerry van dyke"
"Which actor was in Superman, Unforgiven", "jon voight"
"Which actor was in The Donna Reed Show, Pete and Gladys, M-A-S-H", "harry morgan"
"Which actor was in The Untouchables, The Man Who Would Be King", "sean connery"
"Which actor was in Victor/Victoria, The Music Man", "robert preston"
"Which actor was in Zorro, Lost in Space", "guy williams"
"Which Bruce is co-owner of "Planet Hollywood"", "willis"
"Which Don starred in "Miami Vice"", "johnson"
"Which Jack starred with Shirley Maclaine in "Terms of Endearment"", "nicholson"
"Which Robert starred with Dustin Hoffman in "All the President's Men"", "redford"
"Which TV show made Canadian Pamela Anderson famous?", "baywatch"
"Which Warren starred in "Dick Tracy" and "Bugsy Malone"", "beatty"
"Who appeared in Doc Hollywood (1991) Singles (1992) & Point of No Return (1993)", "Bridget fonda"
"Who co-starred as Gale Sayers in Brian's Song?", "billy dee williams"
"Who co-starred with Julie Andrews in "Mary Poppins"", "dick van dyke"
"Who famously played the character of Norman Bates", "anthony perkins"
"Who famously played the character of Shaft", "richard roundtree"
"Who famously played the character of Superman", "christopher reeve"
"Who has played a Beverly Hills hustler, a Navy cadet and a very wealthy Beverly Hills 'john'", "richard gere"
"Who has played a hit man, the devil and a humorous super villain", "Jack Nicholson"
"Who has played an inventor, a musketeer and a break dancing grandfather", "Don Ameche"
"Who is the male lead in the "Naked Gun" movies", "leslie nielsen"
"Who is the voice of Darth Vadar", "james earl jones"
"who made an 'unbilled' appearance in the film, 'Tootsie'", "Bill Murray "
"who made the following line famous 'We could have made beautiful music together"", "Gary Cooper"
"Who married her 7th husband in Michael Jackson's garden", "elizabeth taylor"
"Who played "celie" in the color purple", "whoopi goldberg"
"Who played "claudia draper" in nuts", "barbra streisand"
"Who played "dr raymond stantz" in ghost busters", "dan akroyd"
"Who played "marty mcfly" in back to the future", "michael j. fox"
"Who played "Robin" to Val Kilmer's "Batman"", "o'donnell"
"Who played Brad Pitt's cop partner in the movie "Seven"", "morgan freeman"
"Who played Dorothy in "The Wizard of Oz"", "judy garland"
"Who played Fish on "Barney Miller" and "Fish." (gill, fish ... get it)", "abe vigoda"
"Who played Garth in Wayne's World", "dana carvey"
"Who played Matt Helm in the movies", "dean martin"
"who played Michelle in eastenders", "susan Tully"
"Who played Scarlette O'Hara in "Gone With the Wind"", "vivien leigh"
"Who played the 'Wicked Witch of the West' in "The Wizard of Oz"", "hamilton"
"Who played the character of Arthur", "dudley moore"
"Who played the character of Captain Blood", "errol flynn"
"Who played the character of Carrie", "sissy spacek"
"Who played the character of Dick Tracy", "warren beatty"
"Who played the character of Dirty Harry", "clint eastwood"
"Who played the character of Doctor Doolittle", "rex harrison"
"Who played the character of Dr. Phibes", "vincent price"
"Who played the character of Elmer Gantry", "burt lancaster"
"Who played the character of Ghandi", "ben kingsley"
"Who played the character of Gigi", "leslie caron"
"Who played the character of Inspector Clouseau", "peter sellers"
"Who played the character of Lawrence of Arabia", "peter otoole"
"Who played the character of Mary Poppins", "julie andrews"
"Who played the character of Private Benjamin", "goldie hawn"
"Who played the character of Sherlock Holmes", "basil rathbone"
"Who played the character of The Bandit", "burt reynolds"
"Who played the character of The Great Santini", "robert duvall"
"Who played the character of The Music Man", "robert preston"
"who played the leading role in 'The Good, the Bad, and the Ugly'", "Clint Eastwood"
"who played the leading role in the original "Gidget"", "Sandra Dee"
"who played the pretty blond girl elliot danced with in e.t. the extra-terrestrial", "erika eleniak"
"Who played the role of Richard Blaine in Casablanca", "humphrey bogart"
"who portrayed Adam Cartwright in the TV series, Bonanza", "Pernell Roberts"
"who portrayed the character LeRoy Johnson in both the movie & TV Series, Fame", "Gene Anthony Ray"
"Who starred as an alien in the 1970's film 'The Man Who Fell to Earth", "david bowie"
"Who starred as bill bittinger in buffalo bill", "dabney coleman"
"Who starred as danny wilde in the persuaders", "tony curtis"
"Who starred as History lecturer Jim Dixon in the film version of Kingsley Amis' novel Lucky Jim", "ian carmichael"
"Who starred as Jimmy Porter in the film version of John Osborne's play Look Back in Anger", "richard burton"
"Who starred as tv's "the rifleman"", "chuck connors"
"Who starred as valentine farrow in the 1964 series valentine's day", "tony franciosa"
"Who starred in 'billy madison', 'happy gilmore', 'the wedding singer' and 'the water boy'", "adam sandler"
"Who starred in 'city lights'", "charlie chaplin"
"Who starred in "bad day at black rock" and "look who's coming to dinner"", "spencer tracy"
"Who starred in Singing in the rain and Xanadu", "gene kelly"
"Who starred in the 'hard to kill' series of films", "steven segal"
"Who starred in the 1916 film 'intolerance'", "seena owen"
"Who starred in the 1952 film 'niagara'", "marilyn monroe"
"Who starred in the 1968 film funny girl", "barbra streisand"
"Who starred in the Alfred Hitchcock film 'To Catch a Thief", "cary grant"
"Who starred in the film '48 hours'", "nick nolte and eddie murphy"
"Who starred in the film 'the dirty dozen'", "lee marvin"
"Who starred in the film "Fried Green Tomatoes at the Whistlestop Cafe'", "jessica tandy"
"Who starred in the film the man from laramie", "james stewart"
"Who starred in the film the outlaw josey wales", "clint eastwood"
"Who starred in the film version of 'hamlet' that grossed the most", "mel gibson"
"Who starred in the film version of 'to kill a mockingbird'", "gregory peck"
"Who starred in the film Willie Wonka and the Chocolate Factory", "gene wilder"
"Who starred in the films The Gold Rush and Modern Times", "charlie chaplin"
"Who starred in the movie 'highpoint'", "richard harris"
"Who starred in the movie biloxi blues", "matthew broderick"
"Who starred in the movie blade runner", "harrison ford"
"Who starred in the movie Yentl", "Barbra Streisand"
"Who starred in The Rockford Files", "james garner"
"Who starred in the title role for 'don juan'", "john barrymore"
"Who starred with david niven in the christmas movie "the bishop's wife"", "cary grant"
"who starred with Humphrey Bogart in The Big Sleep", "lauren bacall"
"who starred with James Bolam in The Likely Lads", "rodney bewes"
"Who starred with John Travolta in the movie 'Broken Arrow'", "Christian Slater"
"who turned down the male lead role in Gone with the Wind", "Gary Cooper"
"Who was first a psycho cadet in "The Strange One" and then he ran for his life", "ben gazzara"
"Who was in "Bugsy Malone" & "Taxi Driver" as a kid & went on to "The Accused"", "jodie foster"
"who was Steve McQueen's martial arts instructor", "Chuck Norris "
"Who was the female Kramer in "Kramer vs Kramer"", "meryl streep"
"who was the star of the mini-series "The Blue and the Gray"", "stacy keach"
"whose real name is Ramon Estevez (full name)", "martin sheen"
"whose real name was Marion Morrison", "john wayne"
"whose real name was Ruby Stevens (full name)", "barbara stanwyck"
"whose wives included Vivien Leigh and Joan Plowright", "laurence olivier"
"Willem Dafoe, Tom Berringer, Charlie Sheen", "platoon"
