"A big hunk ____", "o' love"
"The wonder ____", "of you"
"The wonderful world of ____", "christmas"
"There goes my ____", "everything"
"There is no God but ____", "god"
"There will be Peace in the ____", "valley for me"
"There's ____", "always me"
"There's No room to rhumba in a ____", "sports car"
"They remind me too much ____", "of you"
"Tomorrow ____", "never comes"
"Tomorrow ____", "night"
"Tonight is so right ____", "for love"
"Too ____", "much"
"Treat me ____", "nice"
"True ____", "love"
"Tryin' to get ____", "to you"
"Tutti ____", "frutti"
"Twenty days and ____", "twenty nights"
"U.S. ____", "male"
"Unchained ____", "melody"
"Until it's time for ____", "you to go"
"Viva ____", "las vegas"
"Walk a mile in ____", "my shoes"
"Way ____", "down"
"Wear my ring around ____", "your neck"
"Welcome to my ____", "world"
"What now ____", "my love"
"What's she ____", "really like"
"When it rains, it ____", "really pours"
"When my blue moon turns to ____", "gold again"
"Whole lotta shakin' ____", "goin' on"
"Wild in the ____", "country"
"Winter ____", "wonderland"
"Wisdom of the ____", "ages"
"Woman without ____", "love"
"Wooden ____", "heart"
"You can't say no in ____", "acapulco"
"You don't have to say ____", "you love me"
"You gave me a ____", "mountain"
"You're a ____", "heartbreaker"
"You're so square, Baby ____", "i don't care"
"You're the Devil ____", "in disguise"
"You've lost that ____", "lovin' feelin'"
