"Meaning A Church", "kirby"
"Meaning Drinking Cup", "kelila"
"Meaning Earth", "keb"
"Meaning Energy, Black Goddess", "kalli"
"Meaning Enormous", "kare"
"Meaning Expert", "kovit"
"Meaning Faithful", "kostya"
"Meaning Family, Kin", "kyna"
"Meaning Fate", "karma"
"Meaning Fem. form of KYLE", "kyleigh"
"Meaning Fem. form of KYLE", "kylie"
"Meaning Female Born after 3+ Boys", "kiden"
"Meaning Fighter", "kemp"
"Meaning First", "kazu"
"Meaning Firstborn Daughter", "kande"
"Meaning Flames, Fire", "keahi"
"Meaning Fog", "kiho"
"Meaning Forest", "keita"
"Meaning Forgiveness", "kaiya"
"Meaning Form of CALEB", "kalin"
"Meaning Form of CARRICK", "karik"
"Meaning Form of KEENE", "kennan"
"Meaning Form of KELLY", "kaley"
"Meaning Form of KYLA", "kylia"
"Meaning Form of TYLER", "kyler"
"Meaning Fragrant Blossom", "kiele"
"Meaning Free Man", "kermit"
"Meaning Free", "kanoa"
"Meaning Friend of Ships", "kelvin"
"Meaning Friend", "kalil"
"Meaning Friend", "khalil"
"Meaning From CORDELL", "kordell"
"Meaning From initials K.C", "kacy"
"Meaning From Initials K.O", "kayo"
"Meaning From KAY and LANA", "kaylana"
"Meaning From KAY and LEE also see CHAELI", "kaylee"
"Meaning From KEEFER", "keefe"
"Meaning From KENDRA", "kiandra"
"Meaning From KENT", "kynton"
"Meaning From KEVIN", "kevina"
"Meaning FROM KHALIL", "kahlilia"
"Meaning From QUIANA", "kiana"
"Meaning From the Church", "kirk"
"Meaning From the Court", "kourtney"
"Meaning From the Holy City", "kasi"
"Meaning From the name CASPER", "kaspar"
"Meaning From the name CATHERINE", "kat"
"Meaning From the name CHARLES", "karl"
"Meaning From the name CURTIS OR CONRAD", "kurt"
"Meaning From the name KAREEM", "karim"
"Meaning From the name KATHARINE", "kaethe"
"Meaning From the name KEELY", "keelia"
"Meaning From the name KELLY", "kellee"
"Meaning From the name KELLY", "kelli"
"Meaning From the name KENNA", "kendis"
"Meaning From the name KENNETH", "ken"
"Meaning From the name KENNETH", "kenny"
"Meaning From the name KIMBERLY", "kim"
"Meaning From the name KIMBERLY", "kimmy"
"Meaning From the name KIPLING", "kipp"
"Meaning From the name KIRA", "kiri"
"Meaning From the name KRISTEN", "kris"
"Meaning From the name KRISTEN", "krista"
"Meaning From the name KRISTEN", "kristin"
"Meaning From the name KRISTEN", "kristina"
"Meaning From the name Kyle", "kylene"
"Meaning From the town of Kent", "kenton"
"Meaning Full of Energy", "kineta"
"Meaning Garden Flower", "keeya"
"Meaning General", "klitos"
"Meaning Generous One", "karimah"
"Meaning Gift from God", "kirabo"
"Meaning Girl", "kori"
"Meaning God is Gracious", "kwanita"
"Meaning God is my crown", "katriel"
"Meaning God is Strength", "kiah"
"Meaning Golden", "kin"
"Meaning Good Looking", "kiley"
"Meaning Gorgeous WOman", "kenisha"
"Meaning Graceful", "karis"
"Meaning Gracious", "keyanna"
"Meaning Ground Squirrel", "kaikura"
"Meaning Handsome, Beautiful", "kevin"
"Meaning Handsome", "kenneth"
"Meaning Harp", "koto"
"Meaning Hawaiian God", "kaili"
"Meaning Helmeted Chief", "kenadie"
"Meaning Helmeted Chief", "kennedi"
"Meaning Her Life", "keisha"
"Meaning Hill", "kia"
"Meaning Hill", "knox"
"Meaning Hollow", "kory"
"Meaning Honest Counselor", "koen"
"Meaning Honor, Tribute", "kane"
"Meaning Honor", "kiet"
"Meaning Horn of an Animal", "karna"
"Meaning Hunter", "kacela"
"Meaning Immortal, Everlasting", "khalida"
"Meaning Initals K and C", "kaycee"
"Meaning Island of the Ships", "kellsie"
"Meaning Island of the Ships", "kelsey"
"Meaning Knot", "knut"
"Meaning Ladylike", "kyra"
"Meaning Ladylike", "kyria"
"Meaning Last Born Goddess", "kairos"
"Meaning Laurel, Crown", "kailey"
"Meaning Laurel, Crown", "kaleigh"
"Meaning Lead Cautiously", "keiji"
"Meaning Leader in Victory", "klaus"
"Meaning Leader of the Warriors", "kimball"
"Meaning Leader, Master", "kyros"
"Meaning Leaf", "kirra"
"Meaning Lean", "keelan"
"Meaning Light Skinned", "kenzie"
"Meaning Little and Ancient", "keenan"
"Meaning Little and Dark", "keiran"
"Meaning Little and Womanly", "karli"
"Meaning Little Cat, or See CATHERINE", "kitty"
"Meaning Little Dark One", "keaira"
"Meaning Little Dark One", "kieran"
"Meaning Little Lady", "kabibe"
"Meaning Little Lady", "kibibe"
"Meaning Lord, God", "kyrene"
"Meaning Lordly One", "kiril"
"Meaning Love", "kiora"
"Meaning Lovely", "kyla"
"Meaning Loving", "kami"
"Meaning Loyal", "kerda"
"Meaning Lunar Glow", "konane"
"Meaning Maiden", "koren"
"Meaning Maiden", "korene"
"Meaning Male Born after 3+ Girls", "kenyi"
"Meaning Meets World with Happiness", "kioko"
"Meaning Mighty Warrior", "kael"
"Meaning Mirror", "kagami"
"Meaning Mock, Ridicule", "kaseko"
"Meaning Moon", "kynthia"
"Meaning Most Beautiful One", "kalista"
"Meaning Name", "keren"
"Meaning Night", "kishi"
"Meaning Nine or December", "kenda"
"Meaning Noble, Exalted", "kareem"
"Meaning Noble, Gentle", "keefer"
"Meaning Ocean", "kai"
"Meaning Of the Kelts/Celts", "kelly"
"Meaning Offspring", "kinsey"
"Meaning Old, Ancient", "kedem"
"Meaning One who Works for the King", "kalei"
"Meaning Path", "keala"
"Meaning Perfect", "kamil"
"Meaning Place by the Flowing Water", "kelby"
"Meaning Poet", "kavi"
"Meaning Poet", "kavindra"
"Meaning Possession", "kabili"
"Meaning Powerful", "kabira"
"Meaning Powerful", "kana"
"Meaning Powerful", "kellan"
"Meaning Powerful", "kellen"
"Meaning Praise to God", "ksena"
"Meaning Prophet", "kapila"
"Meaning Pure of Heart", "kari"
"Meaning Pure One", "karena"
"Meaning Pure, Unsullied", "katina"
"Meaning Pure, Unsullied", "kato"
"Meaning Pure, Virginal", "kate"
"Meaning Pure, Virginal", "katelin"
"Meaning Pure, Virginal", "katharine"
"Meaning Pure, Virginal", "katherine"
"Meaning Pure, Virginal", "kathie"
"Meaning Pure, Virginal", "kathleen"
"Meaning Pure, Virginal", "kathryn"
"Meaning Pure, Virginal", "kathy"
"Meaning Pure, Virginal", "katie"
"Meaning Pure, Virginal", "katy"
"Meaning Pure", "kaitlyn"
"Meaning Pure", "karen"
"Meaning Pure", "kassia"
"Meaning Pure", "katalin"
"Meaning Pure", "katia"
"Meaning Pure", "katrina"
"Meaning Pure", "kolina"
"Meaning Quiet Child", "kiyoshi"
"Meaning Rainfall", "kisha"
"Meaning Ray", "kiran"
"Meaning Rejoice", "kay"
"Meaning Rejoicer, Waterfall Pool", "kaelin"
"Meaning Rich", "katungi"
"Meaning Rosebud", "kalyca"
"Meaning Rosebud", "kineks"
"Meaning Rosy Reflection in the Sky", "kawena"
"Meaning Royal Meadow", "kenley"
"Meaning Royal One", "kyne"
"Meaning Royal", "kennedy"
"Meaning Ruler", "kimberly"
"Meaning Ruler", "king"
"Meaning Sacred Dancer", "kachina"
"Meaning Sandy, White", "kei"
"Meaning Servant", "kadeem"
"Meaning She Who is Without Equal", "kimi"
"Meaning Short for names beginning with K", "kiki"
"Meaning Small, Dark", "kiara"
"Meaning Someone Who Comes from Nowhere", "kione"
"Meaning Son of Eagan, Fiery", "keagan"
"Meaning Son of Eagan, Fiery", "keegan"
"Meaning Song, Songstress", "karmina"
"Meaning Sparrow Hawk", "kele"
"Meaning Spirit Guide, Protector", "kamali"
"Meaning Stork", "koko"
"Meaning Strong and Womanly", "karla"
"Meaning Strong", "kaori"
"Meaning Successor", "khalipha"
"Meaning Sun", "kira"
"Meaning Supreme Chief", "kiral"
"Meaning Sweet Melody", "kara"
"Meaning Tenth", "kalkin"
"Meaning Thanks", "kuron"
"Meaning The Annointed", "kirsten"
"Meaning The Heavens", "kalani"
"Meaning The King", "kiros"
"Meaning the Life", "keola"
"Meaning The Loved One", "kendi"
"Meaning The Perfect One", "kamal"
"Meaning The Sun", "kalinda"
"Meaning The Supplanter", "kimo"
"Meaning The Wind", "keith"
"Meaning Towars the East", "kedma"
"Meaning Translation of Kitty", "kita"
"Meaning Treasure House", "kura"
"Meaning Tree Branches", "kozue"
"Meaning Trees", "karmiti"
"Meaning Tyrant", "karan"
"Meaning Valley of the River Kent", "kendall"
"Meaning Victorious Warrior", "kolya"
"Meaning Vigilant Watchman", "krikor"
"Meaning Warrior or Warriorwoman", "kelley"
"Meaning Water Baby, Magical", "kendra"
"Meaning Wave", "kinipela"
"Meaning Wing", "kinfe"
"Meaning Wise Child", "kaya"
"Meaning Wise Child", "kayla"
"Meaning Wise, Learned", "keene"
"Meaning Wood", "kyle"
"Meaning Wooden Post", "keran"
"Meaning Work", "kazi"
"Meaning World Ruler", "konala"
"Meaning Worthy", "kata"
"Meaning Writer", "kateb"
"Meaning Young Ceremonial Attendant", "kamella"
