"Meaning A Branch, bough", "dalia"
"Meaning From the name DEBORAH", "debby"
"Meaning From the name DEBORAH", "debra"
"Meaning From the name DEBORAH", "devorah"
"Meaning From the name DEMITRIUS", "dmitri"
"Meaning From the name DENNIS", "denis"
"Meaning From the name DENNIS", "dionysus"
"Meaning From the name DEREK", "derex"
"Meaning From the name DEREK", "derrick"
"Meaning From the name DEREK", "dirk"
"Meaning From the name DESIDERIO", "desi"
"Meaning From the name DIANA", "deandra"
"Meaning From the name DIANA", "diane"
"Meaning From the name DIANA", "dianne"
"Meaning From the name DIANE", "dyan"
"Meaning From the name DIANE", "dyanne"
"Meaning From the name DILLON", "dylan"
"Meaning From the name DIONYSIUS", "dion"
"Meaning From the name DOLORES", "delores"
"Meaning From the name DOMINICK", "dom"
"Meaning From the name DOMINICK", "dominic"
"Meaning From the name DOMINICK", "dominy"
"Meaning From the name DONALD OR DONNEL", "donny"
"Meaning From the name DONALD", "don"
"Meaning From the name DORE", "dori"
"Meaning From the name DORIAN", "doria"
"Meaning From the name DORIS", "dorie"
"Meaning From the name DORIS", "dorit"
"Meaning From the name DOROTHY or DOLORES", "dolly"
"Meaning From the name DOROTHY", "dorothea"
"Meaning From the name DOROTHY", "dory"
"Meaning From the name DOROTHY", "dot"
"Meaning From the name DOROTHY", "dotty"
"Meaning From the name DORSET", "dorsey"
"Meaning From the name DOUGLAS", "doug"
"Meaning From the name DOUGLAS", "dougal"
"Meaning From the name DOUGLAS", "douglass"
"Meaning From the name DULCEA", "dulce"
"Meaning From the name DUNN", "dunne"
"Meaning From the name DUSTIN", "dusty"
"Meaning From the name DWIGHT", "doyt"
"Meaning From the name RANDOLPH", "dolph"
"Meaning From the name WAYNE", "duane"
"Meaning From the Netherlands", "dutch"
"Meaning From the Sea", "dorian"
"Meaning From the South in the U.S", "dixie"
"Meaning From the Village of Danes", "derby"
"Meaning Fruit Quince", "dunja"
"Meaning Gift of God", "dorothy"
"Meaning Gift", "dora"
"Meaning Given", "donat"
"Meaning Glen, Valley", "denna"
"Meaning Glorious", "dagmar"
"Meaning God is my Judge or From Denmark", "dane"
"Meaning God is my Judge", "danae"
"Meaning God is my Judge", "daniel"
"Meaning God is My Judge", "daniela"
"Meaning God is my Judge", "danniell"
"Meaning God of Wine & Revelry", "dionysius"
"Meaning God of Wine", "dunixi"
"Meaning Goddess of Fertility", "demetrius"
"Meaning Goddess of Forces of Nature", "damia"
"Meaning Goddess of Power", "devi"
"Meaning Goddess", "dea"
"Meaning Godlike", "deo"
"Meaning Golden", "dior"
"Meaning Good", "dobry"
"Meaning Great One", "denali"
"Meaning Great", "darren"
"Meaning Great", "derron"
"Meaning Green Valley", "denver"
"Meaning Hair or Poor", "delila"
"Meaning Hair or Poor", "delilah"
"Meaning Half, Small", "demi"
"Meaning He who Upholds the Good", "darrius"
"Meaning Head, Leader", "dean"
"Meaning Hidden Nook", "darnell"
"Meaning Joyous Music", "dreama"
"Meaning Judge", "dempster"
"Meaning Lady of Sorrows", "dolores"
"Meaning Lady, Woman", "donna"
"Meaning Lady", "donnica"
"Meaning Lasting", "dante"
"Meaning Laurel Tree", "daphne"
"Meaning Leader of the People", "didrika"
"Meaning Leader", "duke"
"Meaning Like a God", "deven"
"Meaning Lion", "diata"
"Meaning Little Darling", "darlene"
"Meaning Little Sword", "dino"
"Meaning Long Summer", "da xia"
"Meaning Longed For", "desana"
"Meaning Lover of the Earth", "demitrius"
"Meaning Moral, Good", "duc"
"Meaning Morning Star", "danica"
"Meaning Morning Star", "danika"
"Meaning Mother of Gods", "dana"
"Meaning Mountain", "doi"
"Meaning Mouth of a River", "delta"
"Meaning My Judge", "dani"
"Meaning Native American Tribal Name", "dakota"
"Meaning Of God", "dominique"
"Meaning Of the Dark", "darcie"
"Meaning Of the Devil", "desdemona"
"Meaning Of the Nobility", "della"
"Meaning Peace, Calm", "dinh"
"Meaning Peace", "dembe"
"Meaning Pleasing", "deka"
"Meaning Poet", "devin"
"Meaning Poet", "devon"
"Meaning Powerful Warrior", "dima"
"Meaning Powerful, Rich Ruler", "dick"
"Meaning Precious Present", "darin"
"Meaning Protect the Companion", "duena"
"Meaning Queenly", "daria"
"Meaning Red-Head", "derry"
"Meaning Roaming", "dessa"
"Meaning Rose", "dulcina"
"Meaning Ruler", "dasan"
"Meaning Running Streams", "derora"
"Meaning Scintillating", "delling"
"Meaning Short for names beginning with DEL", "del"
"Meaning Short for names beginning with DES", "des"
"Meaning Sincere", "dyllis"
"Meaning Son of DAVID", "davis"
"Meaning Son of Richard", "dixon"
"Meaning Son of ZEUS", "dard"
"Meaning Sorrowful, Wanderer", "deidra"
"Meaning Sorrowful, Wanderer", "deirdra"
"Meaning St. James", "diego"
"Meaning Stars", "daw"
"Meaning Sunset", "dysis"
"Meaning Sweet", "dulcea"
"Meaning Sweet", "dulcinea"
"Meaning Talented", "dorinda"
"Meaning Taming", "damian"
"Meaning The 7th son of the 7th son", "doctor"
"Meaning The Beginning", "davu"
"Meaning The Earth", "dagan"
"Meaning The Inspirer", "dumi"
"Meaning The Only Girl", "delu"
"Meaning The Town Near the Valley", "dalton"
"Meaning The Way", "dwayne"
"Meaning The World", "desmond"
"Meaning To Speak Kind Words", "deborah"
"Meaning Trustworthy", "drew"
"Meaning Valley or Vindicated", "dena"
"Meaning Valley", "dalva"
"Meaning Valley", "deiondre"
"Meaning Virtuous", "dewei"
"Meaning Warrior", "dustin"
"Meaning Water Bearer", "dalila"
"Meaning Wealthy One", "dareh"
"Meaning White, fair one", "dwight"
"Meaning Wild, Frenzied", "dennis"
"Meaning Wise", "dallas"
"Meaning World Mighty", "donal"
"Meaning Young Girl", "darlita"
