"Meaning A Bohemian Traveler", "gypsy"
"Meaning Vigilante, Watchman", "gregory"
"Meaning Vine", "gafna"
"Meaning Warrior", "gunther"
"Meaning Watchful, Guardian", "greer"
"Meaning Wherewithall, Gall", "gallia"
"Meaning White Hawk", "gavan"
"Meaning White, fair", "gwyn"
"Meaning Youth", "gyala"
"Meaning Youthful", "gillian"
"Meaning Youthful", "giulio"
