"Meaning A Bird", "merle"
"Meaning Form of Moses", "moke"
"Meaning Fortress in a Field", "mostyn"
"Meaning Fortunate One", "machiko"
"Meaning Foundation, Support", "masada"
"Meaning Fragrant", "myron"
"Meaning Free", "malaya"
"Meaning Friend of the Sea", "marvin"
"Meaning From MARY and BELLE", "maribel"
"Meaning From MARY or MARIE", "maree"
"Meaning From MATILDA", "matia"
"Meaning From MATTHEW", "matteo"
"Meaning From Milan Italy", "milan"
"Meaning From the flower", "magnolia"
"Meaning From the flower", "marigold"
"Meaning From the Mill Town", "milton"
"Meaning From the Moon", "moon"
"Meaning From the name AMANDA", "mandy"
"Meaning From the name AMELIA", "mia"
"Meaning From the name MADELINE", "madeleine"
"Meaning From the name MADELINE", "madelia"
"Meaning From the name MADELINE", "magdalene"
"Meaning From the name MADELINE", "maude"
"Meaning From the name MADONNA", "madra"
"Meaning From the name MAHALIA", "mahala"
"Meaning From the name MAHALIA", "mehalia"
"Meaning From the name MALLORY", "malory"
"Meaning From the name MARC", "marcel"
"Meaning From the name MARC", "marco"
"Meaning From the name MARC", "marcus"
"Meaning From the name MARC", "mark"
"Meaning From the name MARCIA", "marcella"
"Meaning From the name MARCIA", "marcie"
"Meaning From the name MARCIA", "marcy"
"Meaning From the name MARGARET", "madge"
"Meaning From the name MARGARET", "maggie"
"Meaning From the name MARGARET", "margarita"
"Meaning From the name MARGARET", "marge"
"Meaning From the name MARGARET", "margot"
"Meaning From the name MARGARET", "marguerite"
"Meaning From the name MARGARET", "marjorie"
"Meaning From the name MARILYN", "marlene"
"Meaning From the name MARILYN", "marli"
"Meaning From the name MARILYN", "marlie"
"Meaning From the name MARILYN", "marlin"
"Meaning From the name MARILYN", "marlo"
"Meaning From the name MARILYN", "marly"
"Meaning From the name MARINA", "marnie"
"Meaning From the name MARTHA", "marta"
"Meaning From the name MARTIN", "marty"
"Meaning From the name MARVIN", "marv"
"Meaning From the name MARVIN", "marvene"
"Meaning From the name MARVIN", "merv"
"Meaning From the name MARVIN", "mervin"
"Meaning From the name MARVIN", "mervyn"
"Meaning From the name MARY AND ANNA", "marianne"
"Meaning From the name MARY AND ANNA", "marion"
"Meaning From the name MARY and LUCILLE", "marilu"
"Meaning From the name MARY", "mae"
"Meaning From the name MARY", "maria"
"Meaning From the name MARY", "marie"
"Meaning From the name MARY", "marietta"
"Meaning From the name MARY", "molly"
"Meaning From the name MATILDA", "mathilde"
"Meaning From the name MATILDA", "matty"
"Meaning From the name MATTHEW", "matt"
"Meaning From the name MATTHEW", "matthias"
"Meaning From the name MAXIMILIAN", "max"
"Meaning From the name MAXIMILIAN", "maxim"
"Meaning From the name MAXIMILIAN", "maxime"
"Meaning From the name McHALE", "makale"
"Meaning From the name MELANIE", "melinda"
"Meaning From the name MELVIN", "mel"
"Meaning From the name MELVIN", "melva"
"Meaning From the name MELVIN", "melvyn"
"Meaning From the name MEREDITH or Happy", "merry"
"Meaning From the name MERLE", "merrill"
"Meaning From the name MERLE", "meryl"
"Meaning From the name MERLE", "meryle"
"Meaning From the name MERLE", "muriel"
"Meaning From the name MICHAEL", "mckale"
"Meaning From the name MICHAEL", "michele"
"Meaning From the name MICHAEL", "michelle"
"Meaning From the name MICHAEL", "mick"
"Meaning From the name MICHAEL", "mickey"
"Meaning From the name MICHAEL", "mike"
"Meaning From the name MICHAEL", "mikhail"
"Meaning From the name MICHAEL", "misha"
"Meaning From the name MICHAEL", "mitch"
"Meaning From the name MICHAEL", "mitchel"
"Meaning From the name MILDRED", "millie"
"Meaning From the name MILDRED", "milly"
"Meaning From the name MILES", "milo"
"Meaning From the name MILTON", "milt"
"Meaning From the name MIRANDA", "mira"
"Meaning From the name MIRANDA", "mirra"
"Meaning From the name MIRANDA", "myra"
"Meaning From the name MIRIAM", "mary"
"Meaning From the name MIRIAM", "mimi"
"Meaning From the name MONTGOMERY", "monte"
"Meaning From the name MONTGOMERY", "monty"
"Meaning From the name MORRIS", "morey"
"Meaning From the name MORRIS", "morrie"
"Meaning From the name MORTIMER", "morty"
"Meaning From the name MORTON", "mort"
"Meaning From the name MOSES", "moshe"
"Meaning From the name MOSES", "moss"
"Meaning From the name MUHAMMAD", "mohammed"
"Meaning From the Nica", "manica"
"Meaning From the Pasture", "mead"
"Meaning From the Sea", "marina"
"Meaning From the Sea", "marisela"
"Meaning From the Sea", "morgan"
"Meaning From the Town Near the Moor", "morton"
"Meaning Gaelic for Mary, Sea of Bitterness", "mairi"
"Meaning Generous, Giving", "maddock"
"Meaning Gentle Caress", "miliani"
"Meaning Gentle, Soft", "moina"
"Meaning Gentle, Soft", "moyna"
"Meaning Gentle", "metea"
"Meaning Gift of God", "makaio"
"Meaning Gift of God", "matthew"
"Meaning Gift", "makana"
"Meaning Gift", "migdana"
"Meaning God In Us", "manuel"
"Meaning God is my Teacher", "moriah"
"Meaning God is With Us", "manuela"
"Meaning God Like", "mikaili"
"Meaning God Spoke", "mireille"
"Meaning Goddess of Song", "maeve"
"Meaning Goddess of Wisdom", "minerva"
"Meaning Goddess/Sorceress", "medea"
"Meaning Goodness", "meged"
"Meaning Great Spring", "maxwell"
"Meaning Great Waterfall", "maylin"
"Meaning Great", "maximilian"
"Meaning Great", "moira"
"Meaning Great", "more"
"Meaning Great", "moya"
"Meaning Greatest", "massimo"
"Meaning Greatest", "maximos"
"Meaning Greatest", "maxine"
"Meaning Happiness", "makenna"
"Meaning Happiness", "mave"
"Meaning Hawaiian form of MARY", "mele"
"Meaning Heroine in French Novel", "manon"
"Meaning High Tower", "madeline"
"Meaning High Tower", "magda"
"Meaning High Tower", "marlas"
"Meaning Honest Child", "maeko"
"Meaning Honest Child", "maemi"
"Meaning Honey Bee", "malissa"
"Meaning Honey Bee", "melisande"
"Meaning Honey", "mindy"
"Meaning Honored One", "mutia"
"Meaning Horse Keeper", "marshall"
"Meaning Ill-fated Luck", "mallory"
"Meaning Improve", "melora"
"Meaning Irish form of Mary", "maire"
"Meaning Jehovah Spoke", "mirella"
"Meaning Joy Giver", "marnin"
"Meaning Junior, Younger", "minor"
"Meaning King", "mansa"
"Meaning Knowledge", "minda"
"Meaning Lady", "martha"
"Meaning Light", "malana"
"Meaning Light", "mitsu"
"Meaning Lives Near the Sea", "mortimer"
"Meaning Lovable", "mandelina"
"Meaning Lovely Thoughts", "moral"
"Meaning Lucky", "maimun"
"Meaning Magnolia Blossom", "mulan"
"Meaning Maiden", "mayda"
"Meaning Maker", "macon"
"Meaning Marvelous, Wonderful", "mircea"
"Meaning Marvelous", "marva"
"Meaning Marvelous", "marvela"
"Meaning May", "mei"
"Meaning Meadow Near the Lake", "mardell"
"Meaning Meadow", "maitland"
"Meaning Melvin", "melba"
"Meaning Merchant", "mercer"
"Meaning Merciful", "mercedes"
"Meaning Mercy", "mercia"
"Meaning Merry", "meara"
"Meaning Might, Power", "mathilda"
"Meaning Might, Power", "matilda"
"Meaning Mild Strength", "mildred"
"Meaning Mill Worker", "melvin"
"Meaning Mill Worker", "miller"
"Meaning Mine", "mea"
"Meaning Mine", "mio"
"Meaning Miracle Worker", "maxima"
"Meaning Miracle", "miracle"
"Meaning Mistress of the Sea", "miriam"
"Meaning Moor, Dark Haired", "maurizio"
"Meaning Moor, Dark Skinned", "maurice"
"Meaning Moor", "maurilio"
"Meaning Mother", "madrona"
"Meaning Mother", "maia"
"Meaning Mother", "matrika"
"Meaning Mother", "maya"
"Meaning Mountain", "montana"
"Meaning Mountainous", "montego"
"Meaning Much Expected of Her", "miniya"
"Meaning My Beautiful One", "mabel"
"Meaning My Lady", "madonna"
"Meaning My Messenger", "malachi"
"Meaning Myself", "maro"
"Meaning Mystic", "mistico"
"Meaning Myth", "mita"
"Meaning Near the Mills", "mills"
"Meaning Near the river Roe", "monroe"
"Meaning Noble", "mona"
"Meaning Now", "maik"
"Meaning Ocean", "moana"
"Meaning Ocean", "moanna"
"Meaning Of Brown Skin", "mauro"
"Meaning Of the Earth", "mayan"
"Meaning Of the Mountain", "montgomery"
"Meaning Of the Sea", "maren"
"Meaning Of the Sea", "marin"
"Meaning Of the Sea", "marinel"
"Meaning Of the Sea", "maris"
"Meaning Of the Sea", "marisa"
"Meaning Of the Sea", "marissa"
"Meaning Of the Sea", "meris"
"Meaning Of Uncommon Beauty", "mirabel"
"Meaning Of wondrous Beauty", "mirabelle"
"Meaning One who Hunts Eagles", "makya"
"Meaning One Who Shines", "meir"
"Meaning Pasture of the Moor", "morley"
"Meaning Peace Celebration", "miroslav"
"Meaning Peaceful", "mykel"
"Meaning Pearl", "maisie"
"Meaning Pearl", "margaux"
"Meaning Pearl", "margo"
"Meaning Pearl", "meg"
"Meaning Pearl", "megan"
"Meaning Pearl", "megara"
"Meaning Pet form of MARY", "mariel"
"Meaning Pine", "matsu"
"Meaning Plain", "macha"
"Meaning Powerful, brave", "maynard"
"Meaning Praised", "muhammad"
"Meaning Prophet", "meda"
"Meaning Protector from the Sea", "meredith"
"Meaning Psychic Gifts", "mana"
"Meaning Pure", "mariatu"
"Meaning Purplish Color", "mauve"
"Meaning Queen", "malka"
"Meaning Queen", "micol"
"Meaning Rainbow", "musoke"
"Meaning Rebellious One", "meria"
"Meaning Rejoice", "marnina"
"Meaning Religious Man", "monahan"
"Meaning Remembrance", "minna"
"Meaning Righteous Way", "michi"
"Meaning Ripples in the Water", "misu"
"Meaning Roots", "miyanda"
"Meaning Sacred House", "miya"
"Meaning Sailor, Roman Clan Name", "marius"
"Meaning Sailor", "mario"
"Meaning Sailor", "murray"
"Meaning Scholarly Accomplishments", "mendel"
"Meaning Sea Warrior", "murphy"
"Meaning Sea Wave", "morwenna"
"Meaning Seashore", "morgana"
"Meaning Servant of St. John", "malone"
"Meaning Sharp Cliff", "montague"
"Meaning Shining Sea", "meriel"
"Meaning Shy, Modest", "modesta"
"Meaning Sincere, Honest", "makoto"
"Meaning Single, Alone", "monita"
"Meaning Slope by the Pond", "marlow"
"Meaning Small but Famous", "merritt"
"Meaning Small Sweet Thing", "miette"
"Meaning Smart, Intelligent", "mahalia"
"Meaning Soldier", "miles"
"Meaning Soldier", "myles"
"Meaning Solitary Life", "moesha"
"Meaning Solitary Life", "monisha"
"Meaning Solitary", "monet"
"Meaning Son Of ____", "mac"
"Meaning Son of Hugh", "magee"
"Meaning Son of Ken or Kenna", "mckenna"
"Meaning Son of Kenneth", "mackenzie"
"Meaning Son of Kile", "mckile"
"Meaning Son of Man", "manning"
"Meaning Son of Matthew", "madison"
"Meaning Son of Morris", "morrison"
"Meaning Son of Morris", "morse"
"Meaning Son of the Patron", "maddox"
"Meaning Song-like", "melody"
"Meaning Song, Melody", "melodie"
"Meaning South", "mina"
"Meaning Steady Rain", "marka"
"Meaning Stone worker", "mason"
"Meaning Strength Warrior", "magnar"
"Meaning Strong in War", "matilde"
"Meaning Strong Work", "millicent"
"Meaning Sunny Sea", "marisol"
"Meaning Sweet Berry", "mora"
"Meaning sweet", "mandisa"
"Meaning Sweet", "mattox"
"Meaning Sweetlike", "melosa"
"Meaning The Expected One", "mahdi"
"Meaning The Lord is With You", "muna"
"Meaning The Sea", "mare"
"Meaning The Spoiler", "messina"
"Meaning The Thrush", "mavis"
"Meaning The Tree/Victory", "myrtle"
"Meaning The Wind", "makani"
"Meaning Tiny Gnat", "mizell"
"Meaning To Hit", "muliya"
"Meaning To Wonder, Admire", "marvel"
"Meaning Tower, Soothing", "malina"
"Meaning Town near the Pond", "merton"
"Meaning Trouble", "mashaka"
"Meaning Tuesday", "mardi"
"Meaning Unique Little Girl/Beautiful Young Woman", "maleah"
"Meaning UNIT One that Orbits the Moon", "moon"
"Meaning Var. of Matthias", "matias"
"Meaning Victorious People", "milek"
"Meaning Village", "mura"
"Meaning War Goddess", "morrigan"
"Meaning Warlike", "marc"
"Meaning Warlike", "marcell"
"Meaning Warlike", "marek"
"Meaning Warlike", "martin"
"Meaning Warrior, Warlike", "mordecai"
"Meaning White Eyes", "mrena"
"Meaning White Hot Sun", "misae"
"Meaning Who is for Me?", "mili"
"Meaning Who is like God?", "mckayla"
"Meaning Who is like God?", "mekelle"
"Meaning Who is like God?", "michael"
"Meaning Who is like God?", "mihaly"
"Meaning Who is like God?", "mikkel"
"Meaning Who is like God?", "mikko"
"Meaning Who is Like God", "makaila"
"Meaning Who is like God", "micah"
"Meaning Who Is Like God", "micheline"
"Meaning Who is like God", "michon"
"Meaning Who Loves Everyone, Warlike", "martina"
"Meaning Wild Falcon", "marlon"
"Meaning Wildly Independent", "maverick"
"Meaning Winner", "malo"
"Meaning Wise Little Raccoon", "mika"
"Meaning Wise Man", "morathi"
"Meaning Wished-For Child", "mari"
"Meaning Wished-For Child", "mariam"
"Meaning Without Conceit", "modesty"
"Meaning Woman from Magdala", "magdalena"
"Meaning Wonderful", "mohan"
"Meaning Wonderful", "myrilla"
"Meaning Wondering", "makalo"
"Meaning Young Fighter", "marcellus"
