"Afghanistan", "kabul"
"Malawi", "lilongwe"
"Malaysia", "kuala lumpur"
"Maldives", "male"
"Mali", "bamako"
"Malta", "valletta"
"Man, Isle of", "douglas"
"Marshall Islands", "majuro"
"Martinique", "fort-de-france"
"Mauritania", "nouakchott"
"Mauritius", "port louis"
"Mayotte", "mamoutzou"
"Mexico", "mexico"
"Micronesia, Federated States of", "palikir"
"Moldova", "chisinau"
"Monaco", "monaco"
"Mongolia", "ulaanbaatar"
"Montserrat", "plymouth"
"Morocco", "rabat"
"Mozambique", "maputo"
"Namibia", "windhoek"
"Nauru", "no official capital"
"Nepal", "kathmandu"
"Netherlands Antilles", "willemstad"
"Netherlands", "amsterdam"
"New Caledonia", "noumea"
"New Zealand", "wellington"
"Nicaragua", "managua"
"Niger", "niamey"
"Nigeria", "abuja"
"Niue", "alofi"
"Norfolk Island", "kingston"
"Northern Mariana Islands", "saipan"
"Norway", "oslo"
"Oman", "muscat"
"Pakistan", "islamabad"
"Palau", "koror"
"Panama", "panama"
"Papua New Guinea", "port moresby"
"Paraguay", "asuncion"
"Peru", "lima"
"Philippines", "manila"
"Pitcairn Islands", "adamstown"
"Poland", "warsaw"
"Portugal", "lisbon"
"Puerto Rico", "san juan"
"Qatar", "doha"
"Reunion", "saint-denis"
"Romania", "bucharest"
"Russia", "moscow"
"Rwanda", "kigali"
"Saint Helena", "jamestown"
"Saint Kitts and Nevis", "basseterre"
"Saint Lucia", "castries"
"Saint Pierre and Miquelon", "saint-pierre"
"Saint Vincent and the Grenadines", "kingstown"
"Samoa", "apia"
"San Marino", "san marino"
"Sao Tome and Principe", "sao tome"
"Saudi Arabia", "riyadh"
"Senegal", "dakar"
"Serbia and Montenegro", "belgrade"
"Seychelles", "victoria"
"Sierra Leone", "freetown"
"Singapore", "singapore"
"Slovakia", "bratislava"
"Slovenia", "ljubljana"
"Solomon Islands", "honiara"
"Somalia", "mogadishu"
"South Africa", "pretoria"
"Spain", "madrid"
"Sri Lanka", "colombo"
"Sudan", "khartoum"
"Suriname", "paramaribo"
"Svalbard", "longyearbyen"
"Swaziland", "mbabane"
"Sweden", "stockholm"
"Switzerland", "bern"
"Syria", "damascus"
"Taiwan", "taipei"
"Tajikistan", "dushanbe"
"Tanzania", "dar es salaam"
"Thailand", "bangkok"
"Togo", "lome"
"Tokelau", "no official capital"
"Tonga", "nuku'alofa"
"Trinidad and Tobago", "port-of-spain"
"Tunisia", "tunis"
"Turkey", "ankara"
"Turkmenistan", "ashgabat"
"Turks and Caicos Islands", "grand turk"
"Tuvalu", "funafuti"
"Uganda", "kampala"
"Ukraine", "kiev"
"United Arab Emirates", "abu dhabi"
"United Kingdom", "london"
"United States", "washington dc"
"Uruguay", "montevideo"
"Uzbekistan", "tashkent"
"Vanuatu", "port-vila"
"Vietnam", "hanoi"
"Virgin Islands", "charlotte amalie"
"Wallis and Futuna", "mata-utu"
"Yemen", "sanaa"
"Zambia", "lusaka"
"Zimbabwe", "harare"
